paper_id,title,first_author,publication_year,journal,doi,document_type,journal_impact_factor_year,journal_impact_factor,journal_quartile,journal_metrics_source,needs_manual_journal_check,relevance_score,extractability_score,journal_quality_score,priority_score,likely_ni_based,likely_contains_conditions,likely_contains_performance,priority_rationale,screening_notes,exclude_reason,old_final_priority_label
paper_0115,Methane Steam Reforming Over Ni/NiAl2O4 Catalyst: The Effect of Steam-to-Methane Ratio,Sprung,2011.0,Topics in Catalysis,10.1007/s11244-011-9726-6,journal_article,,,,,yes,95,50,0,38.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0120,Ru/Ni/MgAl2O4 catalysts for steam reforming of methane: effects of Ru content on self-activation property,Seung-Chan Baek,2011.0,Research on Chemical Intermediates,10.1007/s11164-011-0462-0,journal_article,,,,,yes,95,50,0,38.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0121,Steam Reforming of Methane Over Nickel: Development of a Multi-Step Surface Reaction Mechanism,Lubow Maier,2011.0,Topics in Catalysis,10.1007/s11244-011-9702-1,journal_article,,,,,yes,95,50,0,38.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0109,Suppression of carbon formation in steam reforming of methane by addition of Co into Ni/ZrO2 catalysts,D. Harshini,2010.0,Korean Journal of Chemical Engineering,10.1007/s11814-010-0095-9,journal_article,,,,,yes,95,50,0,38.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0073,Effect of Ni Loading and CexZri-xO2 Promoter on Ni-Based SBA-15 Catalysts for Steam Reforming of Methane,Huijun Wan,2007.0,Journal of Natural Gas Chemistry,10.1016/s1003-9953(07)60039-5,journal_article,,,,,yes,95,50,0,38.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0012,Steam reforming of methane on reduced non-stoichiometric nickel aluminate catalysts,A.S. Al-Ubaid,1988.0,Applied Catalysis,10.1016/s0166-9834(00)80427-3,journal_article,,,,,yes,95,50,0,38.5,yes,no,no,期刊IF缺失，需人工核查；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0217,"Review for ""Metallic nickel-anchored biochar with non-metallic heteroatom modification: remarkably effective catalyst for steam reforming of methane""",,2024.0,,10.1039/d4re00431k/v1/review2,review,,,,,yes,95,10,0,30.5,yes,no,no,review仅作背景参考；期刊IF缺失，需人工核查；存在Ni-based信号,review_kept_separately_for_manual_flagging,review_background_only,low_priority
paper_0218,"Review for ""Metallic nickel-anchored biochar with non-metallic heteroatom modification: remarkably effective catalyst for steam reforming of methane""",,2024.0,,10.1039/d4re00431k/v1/review1,review,,,,,yes,95,10,0,30.5,yes,no,no,review仅作背景参考；期刊IF缺失，需人工核查；存在Ni-based信号,review_kept_separately_for_manual_flagging,review_background_only,low_priority
paper_0219,"Review for ""Metallic nickel-anchored biochar with non-metallic heteroatom modification: remarkably effective catalyst for steam reforming of methane""",,2024.0,,10.1039/d4re00431k/v2/review1,review,,,,,yes,95,10,0,30.5,yes,no,no,review仅作背景参考；期刊IF缺失，需人工核查；存在Ni-based信号,review_kept_separately_for_manual_flagging,review_background_only,low_priority
paper_0161,Kinetic assessment of Ni-based catalysts in low-temperature methane/biogas steam reforming,Luca Turchetti,2016.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.07.245,journal_article,2025,8.3,,manual_lookup,no,85,70,85,82.0,yes,yes,no,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号；更可能包含条件字段,journal_article_candidate_after_auto_screening,,medium_priority
